impopul,-3.0
import,2.0
importun,-4.0
impos,-4.0
impostor,-2.0
impostur,-3.0
impotent,-2.0
impres,2.0
impresion,2.0
imprevist,-3.0
imprim,2.0
improb,4.0
improvis,-2.0
impudent,-3.0
impuls,2.0
inact,-2.0
inadecu,-2.0
incapac,-3.0
incapacit,-3.0
incapaz,-2.0
incendi,-3.0
incent,2.0
incertidumbr,-1.0
inciert,-1.0
incomod,-2.0
incompetent,-2.0
incomplet,-2.0
inconcluyent,-2.0
inconfort,-3.0
incongruent,-2.0
inconst,-2.0
incontrol,-2.0
incorrect,-2.0
incredul,-2.0
increibl,3.0
inculp,-2.0
incult,-3.0
incultur,-2.0
incumpl,-1.0
incur,-4.0
indecent,-3.0
indecis,-2.0
indecision,-2.0
indefens,-3.0
indefension,-1.0
indes,-3.0
indi,-1.0
indiferent,-2.0
indigent,-2.0
indign,-3.0
indispuest,-3.0
indol,3.0
indubit,-2.0
indud,2.0
indulgent,3.0
industri,-4.0
ineficaci,-2.0
ineficaz,-2.0
inept,-3.0
ineptitud,-2.0
inesp,-1.0
inest,-2.0
inexor,-3.0
inexplic,-2.0
infal,1.0
infaust,-3.0
infel,-3.0
infeliz,-2.0
inferior,-2.0
infernal,-3.0
infidel,2.0
infiel,2.0
infiern,-2.0
infim,-2.0
inflam,-3.0
inflex,-3.0
influ,2.0
influenci,-2.0
influj,2.0
inform,2.0
infortun,-2.0
infortuni,-3.0
infraccion,-2.0
infructu,-3.0
ingeni,2.0
ingobern,-2.0
ingrat,-3.0
inhabit,-3.0
